S_No,PLR #,Year,Date,Incident,Status,Machine,Priority,Responsible Department,,,
1,213,2025,01/Jan/2025,"Shut down of STG # 04 due to “No Demand” by KE from January 01 to 04, 2025.",Open,STG#4,Low,KE,,,
2,214,2025,03/02/2025,"On 3 February 2025, steam leakage started from the insulating gasket flange of the 18” MPS Export Line at the FPCL – FFC-PQ battery limit, causing a drop in MPS header pressure. The leakage led to STG-3 tripping on low MPS header pressure, and MPS export was subsequently cut off, interrupting the startup of Ammonia plant at FFC-PQ.",Closed,STG#3,High,Mechanical,,,B#1
3,215,2025,04/02/2025,"Planned shutdown of STG-02 was carried out on 4th February 2025 at 1133 hrs. for the installation of an additional feeder on the existing 13.8 kV Bus-B switchgear to fulfill the power requirement for the Data Center Project. After completion of the installation, STG-02 was restarted on 5th February 2025 at 1657 hrs. and synchronized at 1759 hrs.",Closed,STG#2,Low,E&I,,,B#2
4,216,2025,3-Jun-2025,"1. STG # 01 tripped due to Servo Position Controller (SPC to probable failure of SPC I/O signal.
 2. After troubleshooting SPC signals and replacing I/O card, machine started 04 times but stopped due to increasing trend of radial vibrations on turbine DE bearings.",Closed,STG#1,High,E&I,,,STG#1
5,217,2025,24/03/2025,"Tripping of STG-04 and Urea Plant due to actuation of Master Fuel Trip (MFT) on Boiler-02, triggered by a high-high furnace pressure condition.",Closed,B#2,High,OPS-PSG,,,STG#2
6,218,2025,31/03/2025,STG # 04 load was reduced as per KE instructions during February & March 2025.,Open,STG#4,Low,KE,,,STG#3
7,219,2025,4-Feb-2025,"1. STG-04 was shut down at 0737 hrs. due to “No Demand” from K.E.
 2. At 1505 hrs., after K.E power requirement, STG-04 startup was delayed due to a turbine trip valve opening failure. After rectification, the machine synchronized on 03 April at 0030 hrs.",Open,STG#4,Low,"KE , E&I",,,STG#4
8,220,2025,30/04/2025,"STG # 04 load was reduced as per KE instructions during Apr, 2025",Open,STG#4,Low,KE,,,Total Power Failure 
9,221,2025,18/05/2025,"Due to disturbance in KE 132 KV network, frequency & voltage surges were observed & consequently at 0446 hrs generator & turbine tripped on G60 relay loss of excitation protection followed by over frequency protection. After KE go-ahead the machine was synchronized at 0613 hrs.",Closed,STG#4,High,KE,,,
10,222,2025,25/05/2025,Disturbance in KE network resulted in STG # 04 Breaker opening on over frequency at 0251 & machine remained on FSNL. After KE the go-ahead machine was synchronized at 0314 hrs. and reached full load at 0410 hrs.,Open,STG#4,Low,KE,,,
11,223,2025,31/05/2025,"STG # 04 load was reduced as per KE instructions during May, 2025.",Open,STG#4,Low,KE,,,
12,224,2025,6-Mar-2025,"Due to disturbance in KE 132 KV network, G60 Relay started to pick unbalance condition in voltages and in current, resulting in a trip of the generator and turbine on loss-of-excitation protection at 2056 Hrs. After KE go-ahead the machine was synchronized at 2223 hrs.",Closed,STG#4,High,KE,,,
13,225,2025,18/06/2025,"STG-01 tripped at 0859 Hrs. with alarm “SPC Trip” during PLC switching from Primary to Secondary Controller. After troubleshooting and replacing the Governor AO card switching relay, the machine was synchronized at 1045 Hrs.",Closed,STG#1,High,E&I,,,
14,226,2025,30/06/2025,"STG # 04 load was reduced as per KE instructions during June, 2025.",Open,STG#4,Low,KE,,,
15,227,2025,31/07/2025,"STG # 04 load was reduced as per KE instructions during July, 2025.",Open,STG#4,Low,KE,,,
16,228,2025,31/08/2026,"STG # 04 load was reduced as per KE instructions during Aug, 2025.",Open,STG#4,Low,KE,,,
17,229,2025,30/09/2025,"STG # 04 load was reduced as per KE instructions during Sep, 2025.",Open,STG#4,Low,KE,,,
18,230,2025,31/10/2025,"STG # 04 load was reduced as per KE instructions during Oct, 2025.",Open,STG#4,Low,KE,,,
19,231,2025,30/11/2025,"STG # 04 load was reduced as per KE instructions during Nov, 2025.",Open,STG#4,Low,KE,,,
20,232,2025,12-Nov-2025,Boiler-1 tripped on High Draft Security due to tube leakage during load increase for Boiler-2 shutdown for the planned UREA Plant outage.,Open,B#1,High,,,,
21,233,2025,31/12/2025,"STG # 04 load was reduced as per KE instructions during Dec, 2025.",Open,STG#4,Low,KE,,,
22,194,2024,27/02/2024,Manual opening of K-08 breaker as per FFBL request resulted in tripping of K-16 breaker (FFBL/FPCL power lines interconnection breakers) which caused power black-out in FFBL and STG - 02 de-synchronization (52-G breaker opening) at FPCL.,Closed,STG#2,High,Ffbl E&I,,,
23,195,2024,28/02/2024,"Ash leakage from the gap between the furnace floor refractory and Bed Ash Chute B resulted in damage to the sleeve of Bed Ash Chute B, leading to ash leakage into the windbox's west side hopper. The hot ash subsequently damaged the west side hopper of the windbox, resulting in ash leakage out of the boiler",,Boiler # 1 / 2,High,Mechanical,,,
24,196,2024,Feb'23,"STG # 04 load was reduced as per KE instructions during February, 2024",Closed,STG#4,Low,KE,,,
25,197,2024,March,"STG # 04 load was reduced as per KE instructions during March, 2024",Closed,STG#4,Low,KE,,,
26,198,2024,01/04/2024,"STG # 04 got tripped at 1152 hrs. ,Upon investigation during Loop testing, it was discovered that the fuse in TB-5 had blown out, disrupting the power supply from the card to the servo valve. The fused was replaced and at 1701 start command was given to the turbine. At 1728 machine was synchronized with the grid and reached full load at 1850 hrs.",Closed,STG#4,Low,FPCL E&I Department,,,
27,199,2024,April,"STG # 04 load was reduced as per KE instructions during April, 2024",Closed,STG#4,Low,KE,,,
28,200,2024,21/05/2024,Tripping of STG-04 and Urea Plant due to actuation of Master Fuel Trip (MFT) on Boiler-02 on Primary Air Low-Low Flow Security.,Closed,B#2,High,Operations,,,
29,201,2024,May,"STG # 04 load was reduced as per KE instructions during May, 2024",Closed,STG#4,Low,KE,,,
30,202,2024,June,"STG # 04 load was reduced as per KE instructions during June, 2024",Closed,STG#4,Low,KE,,,
31,203,2024,06/07/2024,"Planned shutdown of STG # 1 was carried out on July 6, 2024 at 1957 Hrs. due to high seismic vibrations observed at Generator side of the turbine. Accordingly, rotor was replaced with available spare rotor at site. Machine was restarted at 0737 Hrs. on July 13, 2024 after completion of rotor replacement job and turbine was synchronized at 1807 hrs.",Closed,STG#1,High,E&I,,,
32,204,2024,July,"STG # 04 load was reduced as per KE instructions during July, 2024",Closed,STG#4,Low,KE,,,
33,205,2024,August,"STG # 04 load was reduced as per KE instructions during August, 2024",Closed,STG#4,Low,KE,,,
34,206,2024,Seotember,"STG # 04 load was reduced as per KE instructions during September, 2024",Closed,STG#4,Low,KE,,,
35,207,2024,October,"STG # 04 load was reduced as per KE instructions during October, 2024",Closed,STG#4,Low,KE,,,
36,208,2024,16/11/2024,Tripping of STG-04 and Urea Plant due to actuation of Master Fuel Trip (MFT) on Boiler-01 on Primary Air Low-Low Flow Security.,Closed,B#1,High,Operations,,,
37,209,2024,12-Jan-24,Manual stoppage of STG # 01 to attend / clean leaked bearing oil from generator,Open,STG#1,High,Mechanical,,,
38,210,2024,November,"STG # 04 load was reduced as per KE instructions during November, 2024.",Closed,STG#4,Low,KE,,,
39,211,2024,01/12/2024,"STG # 04 load was reduced as per KE instructions from December 01 to 04, 2024.",Closed,STG#4,Low,KE,,,
40,212,2024,05/12/2024,"Shut down of STG # 04 due to “No Demand” by KE from December 05 to 31, 2024.",Closed,STG#4,Low,KE,,,
41,175,2023,Jan-23,ATA 2023 Budgeted vs Actual Production & Impact owing to delay in Boilers start-up,Open,STG#4,Low,KE,,,
42,176,2023,17-Feb-23,STG # 04 Breaker opened at 1235 hrs due to over frequency (51.01 Hz) at KE circuit & machine remained on FSNL. After KE go-ahead machine was synchronized at 1305 hrs and reached full load at 1401 hrs (55.14 MW).,Closed,STG#4,Low,KE,,,
43,177,2023,25th Feb 2023,STG-03 stopped at 1121 hrs & steam export to FFBL stopped at 1141 hrs.,Closed,STG#3,High,Maintenance,,,
44,178,2023,Feb'23,"STG # 04 load was reduced as per KE instructions during 18 ~ 28 Feb, 2023",Closed,STG#4,Low,KE,,,
45,179,2023,7th March 2023,"The total power failure that occurred at FPCL and FFBL plants on March 7, 2023, caused by the tripping of STG-02, due to the actuation of G-60 protection due to a ground fault measured by the Neutral Earthing Transformer (NET) following this STG-03 tripped on overcurrent, and STG-01 tripped on under-frequency and under-voltage resulting in total power failure at FFBL / FPCL complex. The power was restored at the complex by starting gas turbines at FFBL.",Closed,STG#2,High,E&I,,,
46,180,2023,"March, 2023","STG # 04 load was reduced as per KE instructions during March, 2023",Closed,STG#4,Low,KE,,,
47,181,2023,"April, 2023","STG # 04 load was reduced as per KE instructions during April, 2023",Closed,STG#4,Low,KE,,,
48,182,2023,"3rd May, 2023","FPCL plant planned shutdown was taken on 3rd May 2023 for inspection of STG # 1 generator rotor. However, during STG # 01 rotor rigging / pulling activity from the Stator, Rotor slipped from the Hydraulic Jack arrangements and damaged the Stator winding on 5th May 2023 at 0030 hrs.
 Plant was started again on 11th May 2023, Boiler # 01 production resumed at 1921 hrs, MPS export started at 1921 hrs and KE power export resumed at 2230 hrs.",Closed,"STG # 1
 STG # 2 
 STG # 3",High,Mechanical Maintenance,,,
49,183,2023,15-Jun-23,Disturbance in KE network resulted in STG # 04 Breaker opening on over frequency at 0701 & machine remained on FSNL.,Closed,STG#4,Low,KE,,,
50,184,2023,"June,2023","STG # 04 load was reduced / adjusted owing to operation of single boiler due to unavailability of STG # 01 & 02, June 2023.",Closed,STG#4,Low,Mechanical Maintenance,,,
51,185,2023,"July, 2023","STG # 04 load was reduced / adjusted owing to operation of single boiler due to unavailability of STG # 01 & 02, July 2023",Closed,STG#4,Low,Mechanical Maintenance,,,
52,186,2023,"August,2023","STG # 04 load was reduced as per KE instructions & owing to operation of single boiler due to unavailability of STG # 01 & 02. during August, 2023",Closed,STG#4,Low,Mechanical Maintenance & KE,,,
53,187,2023,"24th August, 2023",Breaker opening (86 G1) on over-frequency due to KE network disturbance,Closed,STG#4,Low,KE & FPCL,,,
54,188,2023,"September,2023","STG # 04 load was reduced as per KE instructions during September, 2023",Closed,STG#4,Low,KE,,,
55,189,2023,30-Sep-23,Voltage loss on Dhabeji & Protection Relay Operated at BOC lines resulted into STG # 04 breaker opening and shifting of machine to FSNL.,Closed,STG#4,Low,KE,,,
56,190,2023,3rd-Oct-2023,Voltage loss on BOC & Protection Relay Operated at Dhabeji lines resulted into STG # 04 breaker opening and shifting of machine to FSNL,Closed,STG#4,Low,KE,,,
57,191,2023,"November,2023","STG # 04 load was reduced as per KE instructions during November, 2023",Closed,STG#4,Low,KE,,,
58,192,2023,5th Nov-2023,Disturbance in KE network resulted in STG # 04 Breaker opening on over frequency at 0651 & machine remained on FSNL. After KE go-ahead machine was synchronized at 0712 hrs. and reached full load at 0808 hrs.,Closed,STG#4,Low,KE,,,
59,193,2023,"December,2023","STG # 04 load was reduced as per KE instructions during December, 2023",Closed,STG#4,Low,KE,,,
60,148,2022,Jan-22,STG # 04 Low Load as per KE instructions (Jan-22),Closed,STG#4,Low,KE,,,
